source_key,source_page,source_position,name,comment,created_at
gameslice:p12:c8,12,8,BlueWaffel,"Entertaining, especially if you fall asleep at 10 with a migraine just to wake up 3 hours later unable to go back to sleep.",2011-07-07 10:41:00
gameslice:p12:c9,12,9,Aon,"Aside from some occasionally pixelated screens and kinda gratuitous interactive elements, I really enjoyed this. Thanks a lot.",2011-07-07 09:35:00
gameslice:p12:c10,12,10,Sergio S.,"Impressed, a lot of love went into making this. I am a fan of this.",2011-07-07 06:19:00
gameslice:p13:c1,13,1,Mike A,Great Read. It's nice to get a glimpse of how you guys think and work. Helps all of us understand how pasionate and how much though you guys put into your games. I really hope you release another one of these after you finish your next major game. Or even one on the half life series.,2011-07-07 03:20:00
gameslice:p13:c2,13,2,nathys12345,"very good, i enjoyed reading it a good buy :)",2011-07-07 03:01:00
gameslice:p13:c3,13,3,Johnson  Chen,It was interesting,2011-07-07 02:59:00
gameslice:p13:c4,13,4,sylcai,"Liked portal 2 more then reading this, which should be normal..

What isn't, is that it has put me off from reading such a thing ever again... I don't want to know the developer had issues with housing... They are developers, not my best friend. But.. I'm rude that way...",2011-07-07 02:08:00
gameslice:p13:c5,13,5,Revival,A fantastic read. Thanks for letting us (the fans) get an in depth look at how this amazing game was made.,2011-07-07 01:48:00
gameslice:p13:c6,13,6,Codyatx,In the simplest terms: A job well done.,2011-07-07 01:18:00
gameslice:p13:c7,13,7,John,Fun read. Totally worth the small amount of money.,2011-07-07 01:16:00
gameslice:p13:c8,13,8,Ryan,"Loved Portal 2, loved this, especially with its tiny price tag.",2011-07-06 23:39:00
gameslice:p13:c9,13,9,Peter kossatz,i allways wanted to know more about valve and their stuff so thanks a lot for this but i'd really like to read the final hours of half life witch is my favorite game of all times,2011-07-06 23:29:00
gameslice:p13:c10,13,10,Stranger.,"I love this game seria, but it for 1 played and stop=\",2011-07-06 23:07:00
gameslice:p14:c1,14,1,RF5,Awesome.,2011-07-06 22:22:00
gameslice:p14:c2,14,2,Mr. Crosser,Very good. I enjoyed reading this. Very well detailed. Well done!,2011-07-06 22:15:00
gameslice:p14:c3,14,3,Damian,Nice read. Worth the money.,2011-07-06 21:02:00
gameslice:p14:c4,14,4,Jholla,Very well written,2011-07-06 18:19:00
gameslice:p14:c5,14,5,Timothy J.,"A great read, looking more in depth of Portal, the videos and everything matched up to it. was also great to re-read the unfolding of cracking into info on portal with the BBS info, when i lost the info on that i was scrambling over the web to get it again but now i have it :)

Great fun and lots of good Tidbits, I would love to see more of these! :D",2011-07-06 17:49:00
gameslice:p14:c6,14,6,mockio88,cool,2011-07-06 16:18:00
gameslice:p14:c7,14,7,Jaakko Heinonen,"A good read, offers insight into VALVe, reminds people, if they have forgotten, that VALVe is also made of humans.
Good use of the videos and images.",2011-07-06 15:17:00
gameslice:p14:c8,14,8,Amazing,PORTAL2 is a really really fascinating and innovative game!!!,2011-07-06 14:01:00
gameslice:p14:c9,14,9,Peter,"Really interesting work, and very well presented!",2011-07-06 09:42:00
gameslice:p14:c10,14,10,Conor,Portal 3 hints in here :),2011-07-06 09:39:00
gameslice:p15:c1,15,1,Chris658758,When will Portal 1 and 2 be ready for release on NES and SNES? I find the lack of new 8-bit Nintendo games disturbing. Not all of us have those fancy newfangled high-tech 16-bit consoles you know.,2011-07-06 09:14:00
gameslice:p15:c2,15,2,wuliheron,"Portal 2 reminds me of the old DOS game \""Bolo Adventures\"" and Valve has proven once again they are the blues masters of 3D games. Instead another pop tune, wall of noise, pounding bass rhythm, or abstract melody their games focus on the basics and weed out everything else. Each note must stand on its own while also supporting the others. Nothing fancy, just the basics brought up to date to create new timeless classics.",2011-07-06 08:56:00
gameslice:p15:c3,15,3,FrozenK,Wow. This was amazing. There needs to be one of these for every Valve game!,2011-07-06 05:29:00
gameslice:p15:c4,15,4,coto1510,"Very interesting, my money was spent well!

PD: Valve should translate the book to other languages, is very important to understand the text if you not speak english very well!!",2011-07-06 02:27:00
gameslice:p15:c5,15,5,DOom_23,"wow. seriously. inspiring and amazing. just to know that this big project got his up and down moment, that people put their hearts into it makes me love it more and more. keep on the good work guy. for science.",2011-07-06 01:32:00
gameslice:p15:c6,15,6,Zari0t,Very much worth the read. Thank you for showing us the other side of what we at home see.,2011-07-05 23:57:00
gameslice:p15:c7,15,7,Alastor - The Flame Of Heaven,Really Really beatiful ^_^ I LOVE PORTAL 2  MUCH MORE now <3 !!!,2011-07-05 23:08:00
gameslice:p15:c8,15,8,Jiro25,"Being a fan of Nintendo more than other developers such as Valve when I started this book, suffice to say that I'm going to be watching Valve's E3 appearances.",2011-07-05 22:36:00
gameslice:p15:c9,15,9,Drno3ds,"Great read, its a shame Half-life's last hours didnt look like this.
Well worth the money",2011-07-05 17:04:00
gameslice:p15:c10,15,10,Theo,It was really interesting.,2011-07-05 14:38:00
gameslice:p16:c1,16,1,Anxious_Hippo,GG,2011-07-05 10:50:00
gameslice:p16:c2,16,2,Askru,"Intresting, but it would be better if you translate the book to the other laungwages. Thank you.",2011-07-05 10:44:00
gameslice:p16:c3,16,3,fazz92,Very interesting reading. Money well spent :),2011-07-05 09:32:00
gameslice:p16:c4,16,4,Matthew,Beautiful.,2011-07-05 07:33:00
gameslice:p16:c5,16,5,Maximilian,"Very interesting ""book"".It was very nice to learn how Valve did their games and that happened in work office , there clever , nice and friendly ppl makes their masterworks , respected by many people in the world!)",2011-07-05 06:33:00
gameslice:p16:c6,16,6,davidvstertivs,"Amazing app for an amazing game, both leading the market in consumer awareness and consideration :) thanks! Also loved the polls, and though I know the poll results show little love for Valve to make a game for the iPad, I could not think of a better company to spearhead the move of original AS WELL AS intensive gameplay for these mobile devices. Gameloft is ok, but Valve is legendary, and if anyone can do it, Gabe and the guys can. Plskthxbai!",2011-07-05 03:07:00
gameslice:p16:c7,16,7,Stu,"I love behind the scenes looks into computer games, I think I will appreciate Portal 2 more now that I know a little of the effort that went into making it.  Its only recently that I realised how many mistakes and reworking that is required for any epic task to be fully realised, if only inspiration could deliver fully formed 'classics' like Paul McCartney's 'Yesterday'.  Love you work (P.S. I won't buy a pc game if it isn't on STEAM)",2011-07-05 01:20:00
gameslice:p16:c8,16,8,Feralg,That was certainly worth the money spent. Valve is possibly the best video game company out there for so many reasons.,2011-07-05 01:18:00
gameslice:p16:c9,16,9,lphchld,Great read for an excellent game. Valve's games capture me like nothing else.,2011-07-04 22:48:00
gameslice:p16:c10,16,10,Ash78,"Portal2 was an outstanding game and the companion ""Final hours"" iPad app was fascinating. I hope this idea will be carried forwards as I think there is still an unmet demand for insights into the world of game development, the iconic companies (like Valve), and the creative individuals behind them.",2011-07-04 21:04:00
